Building,Construction year,Heated ground surface [m2],Annual Heating consumption [kWh], Annual Electric consumption [kWh]
BI,1,4496,345679,413651
BS,1,10267,509183,350860
CE,1,16655,1003313,1200597
CH,1,28986,3217870,4717985
CM,1,18663,1251411,1354652
GC,1,26586,1465755,1978120
GR,1,9997,649081,813804
MA,1,14018,889271,5531370
ME,1,17151,1126830,3118001
PH,1,23581,3036870,4433829
BC,2,17480,418491,1603596
CO,2,11901,477008,943652.5
BP,2,10442,457861,691031.5
TCV,2,6095,318209,2067675
IN,2,24073,1260041,1889430
ODY,2,4092,253199,81410
AASG,2,18389,1306603,1231933.5
EL,2,22127,1728630,1447090
PO,2,692,64607,0
CRPPhb,2,10831,928960,1608750
MX,2,25868,2600901,2832408
BM,2,19697,2121607,2411721
DIA,2,847,105136,0
AI,2,17674,2768898,3898106
