Building,k_th [W/m2/K],k_sun [-],U_env,# iterations
BI,5.26801204593812,0.106063713908497,4.46801204593812,8784
BS,3.12524361540356,0.0659521761598556,2.32524361540356,8781
CE,4.19015442158606,0.0820418970542388,3.39015442158606,8784
CH,7.92139033313488,0.156089040763409,7.12139033313488,8786
CM,4.51761180312073,0.0916673959562778,3.71761180312073,8783
GC,3.98366498775649,0.0748685965796614,3.18366498775649,8784
GR,4.54873570528831,0.0889048981268031,3.74873570528831,8783
MA,8.78845709960652,0.0849513421501831,7.98845709960652,8782
ME,6.03939269832466,0.0915901277177433,5.23939269832466,8784
PH,9.13086767786864,0.181825375679242,8.33086767786864,8786
BC,2.72130493607141,0.0296897666756125,1.92130493607141,8781
CO,3.34002656061935,0.0534895110610101,2.54002656061935,8782
BP,3.32867045715161,0.0586456493326136,2.52867045715161,8782
TCV,7.46521317333857,0.0684124087221435,6.66521317333857,8782
IN,3.91164532236977,0.070994094904761,3.11164532236977,8782
ODY,3.48120841217807,0.0826283514323472,2.68120841217807,8780
AASG,4.62121103466381,0.0971228863409122,3.82121103466381,8783
EL,4.92753796354289,0.106990847303992,4.12753796354289,8784
PO,4.63481298826708,0.125614310472531,3.83481298826708,8781
CRPPhb,6.52085115479211,0.119994197341977,5.72085115479211,8784
MX,6.63724781250681,0.139854072147239,5.83724781250681,8786
BM,7.1663074576776,0.150316288478404,6.3663074576776,8786
DIA,6.0592932944842,0.16839567967361,5.2592932944842,8781
AI,10.9228572022517,0.222007621058305,10.1228572022517,8787
