T amb [°C], Irr [W/m2]
9.1,0
9.3,0
9.1,0
9,0
8.8,0
8.7,0
8.7,0
8.6,0
8.7,2
9.4,41
10.1,76
10.7,104
11.2,128
11.5,116
11.6,87
11.3,49
10.8,3
10.4,0
9.9,0
9.6,0
9.3,0
8.9,0
8.5,0
8.1,0
7.1,0
6,0
4.9,0
4.3,0
3.7,0
3.1,0
2.7,0
2.2,0
2.2,2
3.7,104
4.9,176
6,252
6.9,301
7.4,279
7.7,272
7.2,134
6,14
5.5,0
4.9,0
4.4,0
3.8,0
3.3,0
2.7,0
2.2,0
2.1,0
2,0
1.9,0
1.9,0
1.8,0
1.8,0
1.8,0
1.8,0
2.1,5
4,97
5.9,181
7.6,252
8.8,272
9.5,257
9.5,174
8.8,93
7.6,3
7.1,0
6.6,0
6.2,0
5.7,0
5.2,0
4.7,0
4.2,0
3.5,0
2.8,0
2.1,0
1.7,0
1.4,0
1,0
0.7,0
0.4,0
0.5,2
2.2,104
3.4,160
4.5,216
5.4,265
6.5,343
6.6,218
6,112
4.9,16
4.4,0
3.8,0
3.3,0
2.7,0
2.2,0
1.6,0
1.1,0
0.7,0
0.3,0
-0.1,0
-0.3,0
-0.5,0
-0.7,0
-0.9,0
-1,0
-0.7,8
1.2,105
3.1,200
5,300
6.2,301
6.5,233
6.6,206
6,129
4.7,16
4.3,0
3.8,0
3.3,0
2.8,0
2.4,0
1.9,0
1.4,0
1,0
0.5,0
0,0
-0.2,0
-0.5,0
-0.7,0
-0.9,0
-1,0
-1,2
0.4,79
1.7,155
3,219
3.8,234
4.3,214
4.3,161
3.7,83
2.8,4
2.4,0
2,0
1.6,0
1.2,0
0.8,0
0.4,0
0,0
-0.3,0
-0.6,0
-0.8,0
-1,0
-1.1,0
-1.2,0
-1.3,0
-1.4,0
-1.3,2
0.7,95
2.6,182
4.3,260
5.5,275
6.4,289
6.7,229
6.3,146
5.1,21
4.4,0
3.8,0
3.2,0
2.6,0
2,0
1.3,0
0.7,0
0,0
-0.8,0
-1.5,0
-1.9,0
-2.3,0
-2.7,0
-3,0
-3.3,0
-3.1,5
-1.3,105
0.6,211
2.3,291
3.6,337
4.4,327
4.7,283
4.3,176
2.9,27
2.2,0
1.5,0
0.8,0
0.1,0
-0.6,0
-1.4,0
-2.1,0
-2.6,0
-3.3,0
-3.9,0
-4.2,0
-4.5,0
-4.8,0
-5.1,0
-5.3,0
-5.1,7
-2.7,129
-0.4,246
1.5,330
3,369
3.8,355
4,285
3.4,177
1.8,27
1.4,0
1,0
0.6,0
0.2,0
-0.2,0
-0.6,0
-1,0
-1.2,0
-1.4,0
-1.6,0
-1.7,0
-1.8,0
-1.9,0
-2.1,0
-2,0
-1.9,2
-1.7,10
-1.5,20
-1.3,26
-1.2,29
0.7,292
2,266
2.5,190
2,32
1.8,0
1.6,0
1.4,0
1.2,0
1,0
0.8,0
0.6,0
0.3,0
0.1,0
-0.2,0
-0.2,0
-0.3,0
-0.4,0
-0.5,0
-0.5,0
-0.3,5
0.8,67
0.8,35
1.7,135
2.8,213
3.7,245
3.4,79
2.9,33
2.3,5
1.8,0
1.4,0
1,0
0.6,0
0.1,0
-0.3,0
-0.9,0
-1.7,0
-2.9,0
-4,0
-5.3,0
-5.2,0
-5.9,0
-6.4,0
-6.9,0
-7.1,2
-7.4,28
-7.7,56
-8,78
-8.3,94
-8.5,90
-8.7,59
