CO2	TotalCost	OpCost	InvCost	a
    12803832.76	    15119328.25	    13288981.72	     1830346.53	0
    11813718.38	    15124095.23	    12662244.49	    2461850.739	0.01
    11813718.38	    15124095.23	    12662244.49	    2461850.739	0.02
    11813718.38	    15124095.23	    12662244.49	    2461850.739	0.03
    11813718.38	    15124095.23	    12662244.49	    2461850.739	0.04
    11813718.38	    15124095.23	    12662244.49	    2461850.739	0.05
    11813718.38	    15124095.23	    12662244.49	    2461850.739	0.06
    11813718.38	    15124095.23	    12662244.49	    2461850.739	0.07
    11813718.38	    15124095.23	    12662244.49	    2461850.739	0.08
    11813718.38	    15124095.23	    12662244.49	    2461850.739	0.09
    11813718.38	    15124095.23	    12662244.49	    2461850.739	0.1
    2301137.744	     16241182.1	    11965351.38	    4275830.715	0.11
    438292.3596	     16482099.5	    11827970.75	    4654128.746	0.12
    438292.3596	     16482099.5	    11827970.75	    4654128.746	0.13
    438292.3596	     16482099.5	    11827970.75	    4654128.746	0.14
    438292.3596	     16482099.5	    11827970.75	    4654128.746	0.15
    438292.3596	     16482099.5	    11827970.75	    4654128.746	0.16
    438292.3596	     16482099.5	    11827970.75	    4654128.746	0.17
    438292.3596	     16482099.5	    11827970.75	    4654128.746	0.18
    438292.3596	     16482099.5	    11827970.75	    4654128.746	0.19
    438292.3596	     16482099.5	    11827970.75	    4654128.746	0.2
    438292.3596	     16482099.5	    11827970.75	    4654128.746	0.21
    438292.3596	     16482099.5	    11827970.75	    4654128.746	0.22
    438292.3596	     16482099.5	    11827970.75	    4654128.746	0.23
    438292.3596	     16482099.5	    11827970.75	    4654128.746	0.24
    438296.8211	    16482097.84	    11827970.61	    4654127.238	0.25
    438292.3596	     16482099.5	    11827970.75	    4654128.746	0.26
    438292.3596	     16482099.5	    11827970.75	    4654128.746	0.27
    438292.3596	     16482099.5	    11827970.75	    4654128.746	0.28
    438292.3596	     16482099.5	    11827970.75	    4654128.746	0.29
    438292.3596	     16482099.5	    11827970.75	    4654128.746	0.3
    438292.3596	     16482099.5	    11827970.75	    4654128.746	0.31
    438292.3596	     16482099.5	    11827970.75	    4654128.746	0.32
    438292.3596	     16482099.5	    11827970.75	    4654128.746	0.33
    438292.3596	     16482099.5	    11827970.75	    4654128.746	0.34
    438292.3596	     16482099.5	    11827970.75	    4654128.746	0.35
    438292.3596	     16482099.5	    11827970.75	    4654128.746	0.36
    438292.3596	     16482099.5	    11827970.75	    4654128.746	0.37
    438292.3596	     16482099.5	    11827970.75	    4654128.746	0.38
    438292.3596	     16482099.5	    11827970.75	    4654128.746	0.39
    438292.3596	     16482099.5	    11827970.75	    4654128.746	0.4
    438292.3596	     16482099.5	    11827970.75	    4654128.746	0.41
    438292.3596	     16482099.5	    11827970.75	    4654128.746	0.42
    438292.3596	     16482099.5	    11827970.75	    4654128.746	0.43
    438292.3596	     16482099.5	    11827970.75	    4654128.746	0.44
    438292.3596	     16482099.5	    11827970.75	    4654128.746	0.45
    438292.3596	     16482099.5	    11827970.75	    4654128.746	0.46
    438292.3596	     16482099.5	    11827970.75	    4654128.746	0.47
    438292.3596	     16482099.5	    11827970.75	    4654128.746	0.48
    438292.3596	     16482099.5	    11827970.75	    4654128.746	0.49
    438292.3596	     16482099.5	    11827970.75	    4654128.746	0.5
    438292.3596	     16482099.5	    11827970.75	    4654128.746	0.51
    438292.3596	     16482099.5	    11827970.75	    4654128.746	0.52
    438292.3596	     16482099.5	    11827970.75	    4654128.746	0.53
    438292.3596	     16482099.5	    11827970.75	    4654128.746	0.54
    438292.3596	     16482099.5	    11827970.75	    4654128.746	0.55
    438292.3596	     16482099.5	    11827970.75	    4654128.746	0.56
    438292.3596	     16482099.5	    11827970.75	    4654128.746	0.57
    438292.3596	     16482099.5	    11827970.75	    4654128.746	0.58
    438292.3596	     16482099.5	    11827970.75	    4654128.746	0.59
    438292.3596	     16482099.5	    11827970.75	    4654128.746	0.6
    438292.3596	     16482099.5	    11827970.75	    4654128.746	0.61
    438292.3596	     16482099.5	    11827970.75	    4654128.746	0.62
    438292.3596	     16482099.5	    11827970.75	    4654128.746	0.63
    438292.3596	     16482099.5	    11827970.75	    4654128.746	0.64
    438292.3596	     16482099.5	    11827970.75	    4654128.746	0.65
    438292.3596	     16482099.5	    11827970.75	    4654128.746	0.66
    438292.3596	     16482099.5	    11827970.75	    4654128.746	0.67
    438292.3596	     16482099.5	    11827970.75	    4654128.746	0.68
    438292.3596	     16482099.5	    11827970.75	    4654128.746	0.69
    438292.3596	     16482099.5	    11827970.75	    4654128.746	0.7
    438292.3596	     16482099.5	    11827970.75	    4654128.746	0.71
    438292.3596	     16482099.5	    11827970.75	    4654128.746	0.72
    438292.3596	     16482099.5	    11827970.75	    4654128.746	0.73
    438292.3596	     16482099.5	    11827970.75	    4654128.746	0.74
     417746.943	    16541652.09	     11299368.7	    5242283.391	0.75
     417746.943	    16541652.09	     11299368.7	    5242283.391	0.76
     417746.943	    16541652.09	     11299368.7	    5242283.391	0.77
     417746.943	    16541652.09	     11299368.7	    5242283.391	0.78
     417746.943	    16541652.09	     11299368.7	    5242283.391	0.79
     417746.943	    16541652.09	     11299368.7	    5242283.391	0.8
     417746.943	    16541652.09	     11299368.7	    5242283.391	0.81
