Grid	alpha	c_spec[g]	TC
ElecGridBuy	  0.5	         0.1257	    10365422.64
ElecGridBuy	 0.75	        0.18855	    12182950.79
ElecGridBuy	    1	         0.2514	    13896677.32
ElecGridBuy	 1.25	        0.31425	       15377244
ElecGridBuy	  1.5	         0.3771	    16858370.66
ElecGridBuy	 1.75	        0.43995	    18339497.33
ElecGridBuy	    2	         0.5028	    19820623.99
ElecGridSell	  0.5	        -0.0533	    13909559.54
ElecGridSell	 0.75	       -0.07995	    13902838.44
ElecGridSell	    1	        -0.1066	    13896117.34
ElecGridSell	 1.25	       -0.13325	    13838995.85
ElecGridSell	  1.5	        -0.1599	    13508124.19
ElecGridSell	 1.75	       -0.18655	    13177252.54
ElecGridSell	    2	        -0.2132	    12846380.88
NatGasGrid	  0.5	         0.0555	    9660814.455
NatGasGrid	 0.75	        0.08325	    11915340.98
NatGasGrid	    1	          0.111	    13896677.32
NatGasGrid	 1.25	        0.13875	    15204567.35
NatGasGrid	  1.5	         0.1665	    16345342.19
NatGasGrid	 1.75	        0.19425	    16859473.91
NatGasGrid	    2	          0.222	    16861226.61
