Layer	alpha	c_CO2	TC
Natgas	  0.5	          0.135	    14523880.77
Natgas	 0.75	         0.2025	    14829132.92
Natgas	    1	           0.27	    15127711.24
Natgas	 1.25	         0.3375	    15399822.49
Natgas	  1.5	          0.405	    15667419.01
Natgas	 1.75	         0.4725	    15931735.63
Natgas	    2	           0.54	    16196052.25
Electricity	  0.5	         0.0045	    15127711.24
Electricity	 0.75	        0.00675	    15127711.24
Electricity	    1	          0.009	    15127711.24
Electricity	 1.25	        0.01125	    15127711.24
Electricity	  1.5	         0.0135	    15127711.24
Electricity	 1.75	        0.01575	    15127711.24
Electricity	    2	          0.018	    15127711.24
