Grid	alpha	c_spec	TC
ElecGridBuy	  0.5	         0.1257	    10367336.26
ElecGridBuy	 0.75	        0.18855	    13394601.14
ElecGridBuy	    1	         0.2514	    15127711.24
ElecGridBuy	 1.25	        0.31425	    16731619.01
ElecGridBuy	  1.5	         0.3771	    18266020.51
ElecGridBuy	 1.75	        0.43995	    19786467.94
ElecGridBuy	    2	         0.5028	     21267594.6
ElecGridSell	  0.5	        -0.0533	    15134702.62
ElecGridSell	 0.75	       -0.07995	    15133775.24
ElecGridSell	    1	        -0.1066	    15127711.24
ElecGridSell	 1.25	       -0.13325	    15121266.69
ElecGridSell	  1.5	        -0.1599	    15114822.15
ElecGridSell	 1.75	       -0.18655	    15083446.49
ElecGridSell	    2	        -0.2132	    14846324.08
NatGasGrid	  0.5	         0.0555	     11766664.1
NatGasGrid	 0.75	        0.08325	    13787318.07
NatGasGrid	    1	          0.111	    15127711.24
NatGasGrid	 1.25	        0.13875	    16270697.22
NatGasGrid	  1.5	         0.1665	    16859358.32
NatGasGrid	 1.75	        0.19425	    16861111.03
NatGasGrid	    2	          0.222	    16862863.74
